,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1966-67,23,DET,NBA,,5,,7,10,,,,11
1967-68,24,SEA,NBA,,9,,7,12,,,,25
1968-69,25,SEA,NBA,,8,,7,9,,,,20
1969-70,26,SEA,NBA,,8,,9,12,,,,23
1970-71,27,TOT,NBA,,10,,8,9,,,,23
1970-71,27,POR,NBA,,1,3,7,9,4,1,2,9
1970-71,27,BAL,NBA,,10,,8,8,,,,23
1971-72,28,BAL,NBA,,4,,3,5,,,,10
Career,,,,,10,,9,12,,,,25
3 Seasons,,SEA,NBA,,9,,9,12,,,,25
2 Seasons,,BAL,NBA,,10,,8,8,,,,23
1 Season,,DET,NBA,,5,,7,10,,,,11
1 Season,,POR,NBA,,1,3,7,9,4,1,2,9
