Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,22,CHH,NBA,PG,1,0,13:00,1,5,0.2,0,3,0,0,0,NA,0,1,5,0,0,3,1,2
2003-04,24,NOH,NBA,PG,1,0,15:35,3,9,0.333,1,6,0.167,0,0,NA,0,0,7,1,0,1,0,7
Career,NA,,NBA,,2,0,29,4,14,0.286,1,9,0.111,0,0,NA,0,1,12,1,0,4,1,9
