Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Micheal Williams,,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2
John Logan,88.1,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA
Darel Carrier,87.2,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA
CJ McCollum,85.3,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Glen Combs,78.8,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
George Thompson,78.6,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
Josh Childress,77.2,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Micheal Ray Richardson,76.2,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Ralph Simpson,74.5,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
Doug Collins,73.7,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA
Ray Williams,73.5,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4
