Season,Team,Lg,Salary
1995-96,Washington Bullets,NBA,"$1,493,000"
1996-97,Portland Trail Blazers,NBA,"$2,060,000"
1997-98,Portland Trail Blazers,NBA,"$2,329,080"
1998-99,Portland Trail Blazers,NBA,"$9,000,000"
1999-00,Portland Trail Blazers,NBA,"$10,800,000"
2000-01,Portland Trail Blazers,NBA,"$12,600,000"
2001-02,Portland Trail Blazers,NBA,"$14,400,000"
2002-03,Portland Trail Blazers,NBA,"$16,200,000"
2003-04,Portland Trail Blazers,NBA,"$17,000,000"
2004-05,Detroit Pistons,NBA,"$9,720,000"
2005-06,Detroit Pistons,NBA,"$10,860,000"
2006-07,Detroit Pistons,NBA,"$11,650,000"
2007-08,Detroit Pistons,NBA,"$12,540,000"
2008-09,Detroit Pistons,NBA,"$13,930,000"
2009-10,Boston Celtics,NBA,"$5,854,000"
2010-11,Boston Celtics,NBA,"$6,322,320"
2012-13,New York Knicks,NBA,"$1,352,181"
Career,(may be incomplete),,"$158,110,581"
