,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,26,POR,NBA,PF,3,128,,,,97%,3%,-15.5,+8.9,0,3,5,1,5,0,15,0,1
2001-02,27,POR,NBA,PF,3,125,,,,72%,28%,-5.9,0.0,0,2,6,0,7,0,11,1,3
2002-03,28,POR,NBA,PF,7,260,,,33%,58%,9%,+2.3,+3.9,1,2,10,2,12,0,37,3,3
2003-04,29,DET,NBA,PF,23,803,,,2%,94%,4%,+8.8,+4.2,16,17,40,8,25,0,77,8,9
2004-05,30,DET,NBA,PF,25,826,,,,78%,22%,+6.9,+4.3,14,9,55,11,26,0,70,6,9
2005-06,31,DET,NBA,PF,18,628,,,,72%,28%,+2.4,-4.4,12,7,37,4,23,1,70,3,3
2006-07,32,DET,NBA,C,16,573,,,,2%,98%,+8.6,+19.4,9,3,40,4,19,0,64,4,9
2007-08,33,DET,NBA,C,17,585,,,,7%,93%,+1.0,-6.2,17,8,36,4,14,1,61,1,6
2008-09,34,DET,NBA,C,4,122,,,,16%,84%,-28.6,-20.7,2,0,8,0,0,0,6,0,1
2009-10,35,BOS,NBA,C,24,410,,,,6%,94%,+0.1,-4.5,5,1,46,3,11,2,20,1,2
Career,,,NBA,,140,4460,,,2%,52%,46%,+3.2,+2.1,76,52,283,37,142,4,431,27,46
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DET,NBA,,103,3537,,,,54%,45%,+4.6,+2.6,70,44,216,31,107,2,348,22,37
1 season,,BOS,NBA,,24,410,,,,6%,94%,+0.1,-4.5,5,1,46,3,11,2,20,1,2
3 seasons,,POR,NBA,,13,513,,,17%,71%,12%,-4.2,+4.2,1,7,21,3,24,0,63,4,7
