Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Patrick Beverley,,5.3,4.8,4.4,4.2,3.5,2.2,0.4
Ricky Sobers,93.1,5.3,4.8,4.3,3.8,2.8,2.4,1
Chris Duhon,92.4,5.2,4.8,4.2,4.1,2.3,1.9,0.2
John Long,91.5,5.3,4.7,3.6,3.6,3.3,2.4,0.2
Kentavious Caldwell-Pope,91.3,5.3,5.3,4.5,4,2.8,1.8,NA
Jarrett Jack,90.6,4.8,4.8,4.1,3.8,3.2,2.4,1.2
Don Ohl,90.3,5.1,4.5,4.4,4.1,3.9,1.2,0.8
Walt Hazzard,89.6,5.4,5.3,5,4.5,2.5,2.2,0.2
Pooh Richardson,89.2,5.9,4.4,4.1,4,3.8,2.1,1.4
Allen Leavell,89.1,4.8,4.3,4,3.8,3,1.9,0.6
Rory Sparrow,88.8,5.6,4.3,4.2,4.2,3.7,1,-0.1
