,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,24,HOU,NBA,PG,41,713,98%,2%,,,,+8.1,+5.4,23,9,24,8,12,8,290,1,7
2013-14,25,HOU,NBA,PG,56,1751,93%,7%,,,,+8.7,+6.8,33,14,61,10,32,19,356,5,31
2014-15,26,HOU,NBA,PG,56,1727,100%,,,,,+2.2,-2.5,51,15,62,9,17,20,457,2,35
2015-16,27,HOU,NBA,PG,71,2041,94%,6%,,,,+3.8,+7.5,48,24,67,6,26,25,569,4,32
2016-17,28,HOU,NBA,SG,67,2058,24%,73%,3%,,,+7.8,+3.5,61,20,84,4,37,40,684,8,29
2017-18,29,LAC,NBA,SG,11,334,62%,38%,,,,+4.5,+4.6,20,2,8,1,6,8,73,1,4
2018-19,30,LAC,NBA,PG,78,2137,100%,,,,,+4.0,+6.4,54,11,92,6,33,42,719,8,26
2019-20,31,LAC,NBA,PG,48,1299,99%,1%,,,,+10.1,+6.1,38,9,51,6,15,28,449,4,6
Career,,,NBA,,428,12060,84%,16%,,,,+5.9,+4.7,328,104,449,50,178,190,3597,33,170
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,291,8290,78%,21%,1%,,,+5.8,+4.1,216,82,298,37,124,112,2356,20,134
3 seasons,,LAC,NBA,,137,3770,96%,4%,,,,+6.1,+6.2,112,22,151,13,54,78,1241,13,36
