Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1
Luke Ridnour,91.3,6.2,5.4,4.4,4,3.4,3.3,2.3,1.2,0.9
Aaron McKie,90.1,5.9,5.3,5.1,4.3,3.9,3.5,2,1.6,1.4
Charlie Ward,89.5,7.1,5.5,3.9,3.7,3.6,3.1,1.9,1,-0.2
Bill Keller,89.4,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA
Foots Walker,89.1,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5
John Paxson,88.9,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,0.6
Spud Webb,88.8,5.4,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Pooh Richardson,88.7,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2
Allen Leavell,88.4,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6
John Salmons,88.2,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.4,0.6
