Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA,NA,NA
Bill Keller,89.4,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA,NA
Jim Barnett,89.2,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA
Ricky Davis,88.9,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Pooh Richardson,88.5,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2,-0.1,NA,NA
Foots Walker,88.5,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Allen Leavell,88.2,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA
Odie Spears,88.1,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA,NA,NA
Bonzi Wells,87.6,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA
Larry Steele,86.5,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA
Rory Sparrow,86.4,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1,0.7,0.5,-0.1,-0.4
