Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1956-57,22,ROC,NBA,SF,71,1759,13.4,0.443,0.287,NA,NA,NA,NA,NA,1.3,2.3,3.7,0.1
1957-58,23,CIN,NBA,SF,71,1032,11.2,0.426,0.38,NA,NA,NA,NA,NA,0.3,1.1,1.4,0.066
1958-59,24,CIN,NBA,PF,72,1674,13.4,0.42,0.279,NA,NA,NA,NA,NA,-0.1,0.6,0.5,0.014
1959-60,25,TOT,NBA,SF,77,1833,11.1,0.436,0.277,NA,NA,NA,NA,NA,0.4,0.7,1.1,0.028
1959-60,25,CIN,NBA,,52,1111,13.8,0.443,0.23,NA,NA,NA,NA,NA,0.5,0.3,0.8,0.032
1959-60,25,STL,NBA,SF,25,722,6.9,0.42,0.406,NA,NA,NA,NA,NA,-0.1,0.4,0.3,0.021
1960-61,26,STL,NBA,SF,29,254,13.7,0.502,0.323,NA,NA,NA,NA,NA,0.4,0.4,0.8,0.142
1961-62,27,CHP,NBA,PF,45,614,8.2,0.408,0.262,NA,NA,NA,NA,NA,-0.5,0.4,-0.1,-0.008
1962-63,28,CIN,NBA,SF,48,457,6.4,0.394,0.101,NA,NA,NA,NA,NA,-0.5,0.2,-0.3,-0.031
Career,NA,,NBA,,413,7623,11.7,0.43,0.285,NA,NA,NA,NA,NA,1.3,5.7,7,0.044
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"ROC,CIN",NBA,,314,6033,12.6,0.43,0.276,NA,NA,NA,NA,NA,1.4,4.6,6,0.048
2 seasons,NA,STL,NBA,,54,976,8.7,0.446,0.379,NA,NA,NA,NA,NA,0.3,0.8,1.1,0.053
1 season,NA,CHP,NBA,,45,614,8.2,0.408,0.262,NA,NA,NA,NA,NA,-0.5,0.4,-0.1,-0.008
