,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,22,ROC,NBA,,12,,6,8,,,6,28
1957-58,23,CIN,NBA,,10,,11,15,,,6,24
1958-59,24,CIN,NBA,,12,,8,10,,,,28
1959-60,25,TOT,NBA,,10,,8,11,,,6,24
1959-60,25,CIN,NBA,,10,,8,9,,,6,24
1959-60,25,STL,NBA,,8,,6,11,,,6,20
1960-61,26,STL,NBA,,5,,3,,,,,10
1961-62,27,CHP,NBA,,6,,6,7,,,,13
1962-63,28,CIN,NBA,,6,,2,,,,,13
Career,,,,,12,,11,,,,,28
5 Seasons,,"CIN,ROC",NBA,,12,,11,,,,,28
2 Seasons,,STL,NBA,,8,,6,,,,,20
1 Season,,CHP,NBA,,6,,6,7,,,,13
