Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Charlie Scott,,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4
Michael Adams,88.6,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
Antonio Daniels,88.6,6.8,6.6,5.9,5.8,5.3,4.3,3.6,2.3,1.8,-1.3
Latrell Sprewell,88.1,8.1,8,6.6,5.5,5.1,4,3,2.8,2,0.4
J.J. Redick,87.4,6.7,6.7,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Jerry Stackhouse,87.3,9.2,7.3,6.5,5.8,4.7,3.5,2.1,1.9,1.2,0.2
B.J. Armstrong,87.0,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7
Slater Martin,86.6,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,1.4
Kenny Smith,85.8,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6
Vern Fleming,85.7,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.4
Brad Davis,85.4,7.4,7.3,6.2,6.2,5.4,4.2,3.9,0.6,0.6,0.3
