Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Albert King,,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1
Scott May,87.2,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA
Robert Covington,85.4,6.1,4,3.1,2.5,2,0.1,NA,NA,NA
Fred Hetzel,83.3,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA
Tom Boswell,82.7,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA
Ronald Franz,82.2,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA
Monk Meineke,82.2,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA
Bob Harris,82.0,5,4.3,3.4,1.9,1,NA,NA,NA,NA
Ed Ratleff,81.4,5.6,4.5,2.1,1,0.5,NA,NA,NA,NA
Jim Baechtold,80.4,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA
Ed Conlin,80.4,4.7,4.3,2,2,0.7,0.5,-0.1,NA,NA
