,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,19,ORL,NBA,C,59,664,.389,3.8,1.000,.657,.160,.091,.091,.000,.389,.487,.214,.188,.188,,.588,.023,4,,,,0,0
2004-05,20,MIL,NBA,C,74,1397,.452,3.9,.997,.647,.169,.133,.048,.003,.453,.476,.433,.383,.412,.000,.669,.025,8,,.000,,1,0
2005-06,21,ATL,NBA,C,78,2452,.451,4.7,.997,.596,.169,.145,.087,.003,.452,.530,.330,.374,.288,.000,.550,.029,19,,.000,,0,0
2006-07,22,ATL,NBA,C,72,2026,.474,5.3,.998,.619,.099,.129,.151,.002,.475,.555,.262,.392,.355,.000,.564,.021,12,,.000,,0,0
2007-08,23,ATL,NBA,C,62,944,.437,6.7,.988,.531,.131,.147,.180,.012,.442,.531,.438,.250,.341,.000,.626,.041,10,,.000,,1,0
2008-09,24,ATL,NBA,C,77,1473,.497,4.8,.991,.638,.147,.103,.103,.009,.502,.569,.468,.303,.333,.000,.610,.047,13,,.000,,2,0
2009-10,25,ATL,NBA,C,78,1089,.488,6.2,.984,.614,.122,.093,.154,.016,.496,.550,.300,.348,.526,.000,.667,.053,11,,.000,,3,0
2010-11,26,ATL,NBA,C,79,1244,.461,5.2,1.000,.591,.220,.073,.116,.000,.461,.577,.235,.529,.259,,.654,.047,7,,,,0,0
2011-12,27,ATL,NBA,C,58,1640,.499,5.7,1.000,.563,.180,.130,.127,.000,.499,.555,.328,.523,.465,,.710,.053,14,,,,0,0
2012-13,28,ATL,NBA,C,52,1134,.473,6.2,.988,.556,.178,.137,.116,.012,.479,.560,.279,.485,.393,.000,.675,.029,7,,.000,,2,0
2013-14,29,MIL,NBA,C,53,1325,.427,6.4,.997,.504,.198,.181,.115,.003,.428,.506,.290,.397,.375,.000,.624,.009,3,,.000,,0,0
2014-15,30,MIL,NBA,C,73,1730,.454,7.9,.994,.427,.132,.287,.147,.006,.456,.558,.257,.493,.269,.000,.742,.023,12,,.000,,0,0
2015-16,31,DAL,NBA,C,76,2004,.466,5.9,.994,.523,.200,.147,.123,.006,.469,.589,.383,.290,.310,.000,.680,.030,13,,.000,,3,0
2016-17,32,GSW,NBA,C,70,1268,.534,4.8,.993,.664,.150,.085,.094,.007,.538,.618,.391,.308,.414,.000,.805,.033,10,,.000,,1,0
2017-18,33,GSW,NBA,C,69,972,.564,4.6,.996,.614,.193,.102,.083,.004,.567,.654,.431,.519,.318,.000,.819,.049,13,,.000,,1,0
2018-19,34,DET,NBA,C,68,878,.440,7.1,.979,.523,.212,.098,.145,.021,.450,.564,.244,.632,.214,.000,.624,.021,4,,.000,,4,0
Career,,,NBA,,1098,22240,.469,5.6,.994,.574,.162,.141,.117,.006,.472,.554,.333,.406,.342,.000,.659,.032,160,,.000,,18,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,ATL,NBA,,556,12002,.471,5.4,.995,.594,.151,.125,.125,.005,.473,.550,.325,.393,.367,.000,.614,.037,93,,.000,,8,0
3 seasons,,MIL,NBA,,200,4452,.446,6.3,.996,.512,.162,.213,.110,.004,.447,.513,.322,.450,.319,.000,.689,.019,23,,.000,,1,0
2 seasons,,GSW,NBA,,139,2240,.548,4.7,.995,.641,.170,.093,.089,.005,.551,.634,.412,.415,.373,.000,.812,.040,23,,.000,,2,0
1 season,,DAL,NBA,,76,2004,.466,5.9,.994,.523,.200,.147,.123,.006,.469,.589,.383,.290,.310,.000,.680,.030,13,,.000,,3,0
1 season,,DET,NBA,,68,878,.440,7.1,.979,.523,.212,.098,.145,.021,.450,.564,.244,.632,.214,.000,.624,.021,4,,.000,,4,0
1 season,,ORL,NBA,,59,664,.389,3.8,1.000,.657,.160,.091,.091,.000,.389,.487,.214,.188,.188,,.588,.023,4,,,,0,0
