Season,Team,Lg,Salary
1984-85,Indiana Pacers,NBA,"$100,000"
1985-86,Houston Rockets,NBA,"$125,000"
1987-88,Chicago Bulls,NBA,"$100,000"
Career,(may be incomplete),,"$325,000"
