Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Granville Waiters,,1.3,0.5,0.2,0,-0.2
Pétur Guðmundsson,82.7,1.4,0.6,0.3,-0.1,NA
Mark McNamara,78.5,1.2,0.6,0.4,0,-0.2
Bernard James,77.3,1.2,0.5,0.1,NA,NA
Robert Sacre,74.7,1.4,0.8,0.3,-0.1,NA
Jason Collier,73.9,1.2,0.4,0.3,0,0
Daniel Santiago,70.4,1.2,0.6,0,0,NA
Keith Closs,70.2,1.1,0.6,0.2,NA,NA
Josh Harrellson,69.8,1.4,0.7,0,NA,NA
Gene Tormohlen,68.9,1.4,0.8,0.1,0,0
Jawann Oldham,66.3,1,0.5,0.3,0,0
