Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Granville Waiters,,1.3,0.5,0.2,0,-0.2,NA
Pétur Guðmundsson,82.7,1.4,0.6,0.3,-0.1,NA,NA
Bernard James,77.3,1.2,0.5,0.1,NA,NA,NA
Robert Sacre,74.7,1.4,0.8,0.3,-0.1,NA,NA
Jason Collier,73.9,1.2,0.4,0.3,0,0,NA
Daniel Santiago,70.4,1.2,0.6,0,0,NA,NA
Keith Closs,70.2,1.1,0.6,0.2,NA,NA,NA
Josh Harrellson,69.8,1.4,0.7,0,NA,NA,NA
Gene Tormohlen,66.3,1.4,0.8,0.1,0,0,0
Earl Williams,65.7,1.3,1,0.4,0,NA,NA
Chris Anstey,63.6,1.9,0.6,0.3,NA,NA,NA
