Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,CIN,NBA,SF,56,NA,497,5.4,14,0.383,3.1,4.8,0.652,NA,NA,4.4,2.6,NA,NA,3.5,13.8
1969-70,23,CIN,NBA,SF,74,NA,2077,8,17.8,0.449,3.1,4.2,0.724,NA,NA,5.4,1.9,NA,NA,3.6,19
1970-71,24,TOT,NBA,SF,67,NA,909,5.9,14.6,0.402,2.9,4.2,0.689,NA,NA,6,2.4,NA,NA,4.6,14.6
1970-71,24,CIN,NBA,SF,1,NA,21,5.1,13.7,0.375,1.7,5.1,0.333,NA,NA,6.9,0,NA,NA,3.4,12
1970-71,24,PHI,NBA,SF,66,NA,888,5.9,14.6,0.403,2.9,4.2,0.699,NA,NA,6,2.5,NA,NA,4.6,14.7
1971-72,25,PHI,NBA,SF,74,NA,1699,7.4,17.7,0.415,3.9,5.1,0.761,NA,NA,5.8,1.9,NA,NA,3.9,18.6
1972-73,26,DET,NBA,SF,63,NA,1460,6,15.5,0.388,1.5,2.1,0.701,NA,NA,4.5,2.3,NA,NA,3.7,13.5
1973-74,27,CLE,NBA,SF,58,NA,649,6.2,16,0.389,3,3.6,0.844,2.4,3.6,6,3.4,1.1,0.3,4.4,15.4
1974-75,28,CLE,NBA,SF,73,NA,1136,6.9,16.5,0.417,2.2,3.1,0.711,1.8,1.7,3.5,3.3,0.7,0.1,4.1,15.9
1976-77,30,BUF,NBA,SF,59,NA,689,5.2,12.9,0.401,1.6,2.3,0.682,1.7,2.2,4,2.5,0.8,0,4.8,11.9
Career,NA,,NBA,,524,NA,9116,6.7,16.2,0.414,2.7,3.8,0.727,1.9,2.4,5,2.4,0.8,0.1,4,16.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,140,NA,2587,6.8,16.7,0.411,3.6,4.8,0.743,NA,NA,5.9,2.1,NA,NA,4.1,17.3
2 seasons,NA,CLE,NBA,,131,NA,1785,6.6,16.3,0.407,2.5,3.2,0.764,2,2.4,4.4,3.3,0.8,0.2,4.2,15.8
3 seasons,NA,CIN,NBA,,131,NA,2595,7.5,17,0.438,3.1,4.3,0.705,NA,NA,5.2,2,NA,NA,3.6,18
1 season,NA,DET,NBA,,63,NA,1460,6,15.5,0.388,1.5,2.1,0.701,NA,NA,4.5,2.3,NA,NA,3.7,13.5
1 season,NA,BUF,NBA,,59,NA,689,5.2,12.9,0.401,1.6,2.3,0.682,1.7,2.2,4,2.5,0.8,0,4.8,11.9
