Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,27,CLE,NBA,SF,58,NA,649,8,20.5,0.389,3.8,4.5,0.844,3.1,4.6,7.7,4.4,1.4,0.4,5.6,19.8,NA,NA,101
1974-75,28,CLE,NBA,SF,73,NA,1136,9.1,21.9,0.417,2.9,4.1,0.711,2.4,2.3,4.6,4.3,0.9,0.1,5.5,21.2,NA,NA,103
1976-77,30,BUF,NBA,SF,59,NA,689,6.4,16,0.401,1.9,2.9,0.682,2.1,2.8,4.9,3.1,1,0,6,14.8,NA,NA,106
Career,NA,,NBA,,190,NA,2474,8,19.8,0.414,2.9,3.9,0.727,2.5,3,5.5,4,1.1,0.2,5.7,19,NA,NA,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,131,NA,1785,8.7,21.4,0.407,3.3,4.3,0.764,2.6,3.1,5.8,4.4,1.1,0.2,5.5,20.6,NA,NA,102
1 season,NA,BUF,NBA,,59,NA,689,6.4,16,0.401,1.9,2.9,0.682,2.1,2.8,4.9,3.1,1,0,6,14.8,NA,NA,106
1 season,NA,DET,NBA,,0,NA,0,NA,NA,0.388,NA,NA,0.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,0,NA,0,NA,NA,0.411,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CIN,NBA,,0,NA,0,NA,NA,0.438,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
