,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,CIN,NBA,,6,,4,5,,,,,,,,12
1969-70,23,CIN,NBA,,14,,7,10,,,,,,,,32
1970-71,24,TOT,NBA,,9,,7,11,,,,,,,,19
1970-71,24,CIN,NBA,,3,8,1,3,,,4,0,,,2,7
1970-71,24,PHI,NBA,,9,,7,11,,,,,,,,19
1971-72,25,PHI,NBA,,14,,9,11,,,,,,,,30
1972-73,26,DET,NBA,,10,,4,6,,,,,,,,24
1973-74,27,CLE,NBA,,8,15,5,7,,,8,8,,,5,21
1974-75,28,CLE,NBA,,11,,6,8,,,,,,,,23
1976-77,30,BUF,NBA,,6,,3,4,,,,,,,,14
Career,,,,,14,,9,11,,,,,,,,32
2 Seasons,,PHI,NBA,,14,,9,11,,,,,,,,30
2 Seasons,,CLE,NBA,,11,,6,8,,,,,,,,23
3 Seasons,,CIN,NBA,,14,,7,10,,,,,,,,32
1 Season,,DET,NBA,,10,,4,6,,,,,,,,24
1 Season,,BUF,NBA,,6,,3,4,,,,,,,,14
