Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Fred Foster,,2.1,1.1,0.4,0.4,0.3,-0.2,-0.2,-0.9
Jim Loscutoff,70.5,2.1,0.9,0.9,0.5,0.3,0,-0.2,-0.9
Tellis Frank,57.8,2,1.1,0.6,0.3,0.1,NA,NA,NA
Pete Verhoeven,57.6,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Henry Walker,55.5,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Hilton Armstrong,53.5,1.5,1.2,0.5,0.5,0.3,-0.1,NA,NA
Jonathan Bender,52.1,2,1.7,0.5,0.2,0,-0.1,-0.2,-0.2
Solomon Jones,49.8,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Bob Portman,49.8,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Joe Wolf,48.3,1.5,0.9,0.7,0.4,0.3,0.1,-0.2,-0.5
D.J. White,47.3,1.8,0.8,0.6,0.4,0.2,0,NA,NA
