,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,23,PHW,NBA,,26,51,15,25,45,7,5,58
1960-61,24,PHW,NBA,,27,48,16,27,55,,4,67
1961-62,25,PHW,NBA,,36,63,28,34,43,6,4,100
1962-63,26,SFW,NBA,,29,60,17,24,41,,,73
1963-64,27,SFW,NBA,,25,,17,29,37,,5,59
1964-65,28,TOT,NBA,,27,58,14,25,43,9,5,63
1964-65,28,SFW,NBA,,27,58,12,22,40,6,4,63
1964-65,28,PHI,NBA,,23,35,14,25,43,9,5,51
1965-66,29,PHI,NBA,,28,43,15,25,42,,5,65
1966-67,30,PHI,NBA,,26,34,12,24,38,17,,58
1967-68,31,PHI,NBA,,30,40,13,30,38,21,5,68
1968-69,32,LAL,NBA,,29,,16,24,42,,,66
1969-70,33,LAL,NBA,,19,,15,30,,,,43
1970-71,34,LAL,NBA,,17,,14,19,32,,,41
1971-72,35,LAL,NBA,,15,,8,19,,,,32
1972-73,36,LAL,NBA,,11,,11,19,31,,,29
Career,,,,,36,,28,34,,,,100
6 Seasons,,"PHW,SFW",NBA,,36,,28,34,55,,,100
5 Seasons,,LAL,NBA,,29,,16,30,,,,66
4 Seasons,,PHI,NBA,,30,43,15,30,43,,,68
