Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Wilt Chamberlain,,25,23.1,21.9,21.4,20.9,20.4,18.8,18.2,17,15.8,15.1,14.7,12.6,2.3,NA,NA,NA,NA,NA,NA,NA
Kareem Abdul-Jabbar,81.9,25.4,22.3,21.9,18.4,17.8,17,14.8,14.4,14.3,13.8,12.9,12.1,11.2,10.9,10.8,10.7,8.9,7.5,5.3,2.9,NA
David Robinson,70.2,20,18.3,17.5,17,15.1,13.9,13.8,13.2,12.7,12.1,10.1,8.4,6,0.7,NA,NA,NA,NA,NA,NA,NA
Artis Gilmore,63.6,19.8,18.5,16.2,15.1,12.7,12.7,12.3,12.2,12.1,11.5,11,10.5,7.1,6.7,5.6,4.9,0.9,NA,NA,NA,NA
Bill Russell,60.7,17.3,16.9,15.5,13.8,13.5,13,12.9,12.2,11.7,11.3,10.9,8.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA
Shaquille O'Neal,55.6,18.6,16.9,14.9,14,13.2,13.2,11,10.4,10.2,9.9,9,8,7.8,6.9,6.2,3.1,2.8,2.8,2.7,NA,NA
Dan Issel,48.8,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3,NA,NA,NA,NA,NA,NA
Moses Malone,48.0,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,7.8,7.7,6.1,5.6,1.9,1,0.3,0.1
Hakeem Olajuwon,44.9,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,5,4.5,2.1,1.6,NA,NA,NA
Walt Bellamy,41.7,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,NA,NA,NA,NA,NA,NA,NA
George Mikan,39.5,23.4,21.1,20.9,14.6,14.4,12.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
