Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,23,PHW,NBA,C,72,NA,3338,1065,2311,0.461,577,991,0.582,1941,168,150,2707
1960-61,24,PHW,NBA,C,79,NA,3773,1251,2457,0.509,531,1054,0.504,2149,148,130,3033
1961-62,25,PHW,NBA,C,80,NA,3882,1597,3159,0.506,835,1363,0.613,2052,192,123,4029
1962-63,26,SFW,NBA,C,80,NA,3806,1463,2770,0.528,660,1113,0.593,1946,275,136,3586
1963-64,27,SFW,NBA,C,80,NA,3689,1204,2298,0.524,540,1016,0.531,1787,403,182,2948
1964-65,28,TOT,NBA,C,73,NA,3301,1063,2083,0.51,408,880,0.464,1673,250,146,2534
1964-65,28,SFW,NBA,C,38,NA,1743,636,1275,0.499,208,500,0.416,893,117,76,1480
1964-65,28,PHI,NBA,C,35,NA,1558,427,808,0.528,200,380,0.526,780,133,70,1054
1965-66,29,PHI,NBA,C,79,NA,3737,1074,1990,0.54,501,976,0.513,1943,414,171,2649
1966-67,30,PHI,NBA,C,81,NA,3682,785,1150,0.683,386,875,0.441,1957,630,143,1956
1967-68,31,PHI,NBA,C,82,NA,3836,819,1377,0.595,354,932,0.38,1952,702,160,1992
1968-69,32,LAL,NBA,C,81,NA,3669,641,1099,0.583,382,857,0.446,1712,366,142,1664
1969-70,33,LAL,NBA,C,12,NA,505,129,227,0.568,70,157,0.446,221,49,31,328
1970-71,34,LAL,NBA,C,82,NA,3630,668,1226,0.545,360,669,0.538,1493,352,174,1696
1971-72,35,LAL,NBA,C,82,NA,3469,496,764,0.649,221,524,0.422,1572,329,196,1213
1972-73,36,LAL,NBA,C,82,NA,3542,426,586,0.727,232,455,0.51,1526,365,191,1084
Career,NA,,NBA,,1045,NA,47859,12681,23497,0.54,6057,11862,0.511,23924,4643,2075,31419
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"PHW,SFW",NBA,,429,NA,20231,7216,14270,0.506,3351,6037,0.555,10768,1303,797,17783
5 seasons,NA,LAL,NBA,,339,NA,14815,2360,3902,0.605,1265,2662,0.475,6524,1461,734,5985
4 seasons,NA,PHI,NBA,,277,NA,12813,3105,5325,0.583,1441,3163,0.456,6632,1879,544,7651
