Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Sam Bowie,,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Matt Geiger,93.5,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
Steve Johnson,88.3,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0
Chris Andersen,87.8,5.9,5.4,4.5,3.2,2.4,1.9,1.3,1.1,0.3,0
Kelvin Cato,87.8,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1
JaVale McGee,87.6,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Kevin Duckworth,87.2,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.5
Jack Nichols,85.9,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA
Will Perdue,85.0,4.7,4.7,4.4,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
Lloyd Neal,84.0,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA
Kelly Olynyk,83.8,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA
