Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Austin Rivers,,2.5,2.4,1.9,1.5,1.2,0.6,-1.1,NA,NA
Trey Burke,80.3,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA
Haywoode Workman,80.3,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Gary Neal,76.0,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA
Jordan Clarkson,75.7,3,2.4,2.1,1.8,1.2,NA,NA,NA,NA
Anthony Bowie,75.1,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
Marko Jarić,75.0,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA,NA
Mike Bratz,74.9,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1
Alonzo Gee,73.6,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Garrett Temple,72.5,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Si Green,71.3,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA
