Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Austin Rivers,,2.5,2.4,1.9,1.5,1.2,0.6,-1.1
Jon Barry,82.6,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
C.J. Miles,81.0,2.9,2.5,1.9,1.9,1.5,0.3,-0.5
Trey Burke,80.3,2.4,2.4,2.1,1.9,0.9,0.5,NA
Anthony Bowie,79.4,2.9,2.5,2,1.6,1.3,0.7,0.5
Haywoode Workman,79.4,2.8,2.5,1.9,1.6,1.4,0.1,0.1
Mike Bratz,78.6,2.7,2.1,1.9,1.7,1.5,0.4,-0.1
Robert Pack,78.0,3.1,2.7,2.2,1.7,1.1,1.1,-0.6
Al Bianchi,77.3,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Gary Neal,76.0,3.5,2.5,1.9,1.4,1,0.6,-0.1
Jordan Clarkson,75.7,3,2.4,2.1,1.8,1.2,NA,NA
