Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Doug Smith,,2.3,1,0.8,-0.2,-0.9
Marty Byrnes,68.9,2.3,1,0.9,0,NA
Grady Lewis,68.0,2.4,1.1,0.8,NA,NA
Walter Herrmann,65.8,2.4,1,0.7,NA,NA
Derrick Brown,62.6,2.3,1.3,1,NA,NA
Cliff Pondexter,57.0,2.2,1.5,1,NA,NA
Dick Gibbs,55.3,2.1,0.7,0.4,-0.1,-0.6
Keith Lee,54.7,1.9,1.1,0.8,NA,NA
Bob Nash,52.8,2.1,1.1,0.1,-0.2,-0.7
Joe Kopicki,52.7,1.9,0.9,0.7,NA,NA
Charles Jones,52.2,2.9,0.9,0.6,0.1,NA
