Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Doug Smith,,2.3,1,0.8,-0.2,-0.9
Fred Foster,73.2,2.1,1.1,0.4,-0.2,-0.9
Marty Byrnes,68.9,2.3,1,0.9,0,NA
Grady Lewis,68.0,2.4,1.1,0.8,NA,NA
Jim Loscutoff,67.5,2.1,0.9,0.9,0,-0.2
Shawne Williams,67.3,2.5,1.4,0.7,0,-0.4
Walter Herrmann,65.8,2.4,1,0.7,NA,NA
Derrick Brown,62.6,2.3,1.3,1,NA,NA
Corey Brewer,60.9,2.3,1.1,1,0.3,-0.2
Terry Teagle,57.8,3.1,1.3,0.7,0.2,-0.8
Cliff Pondexter,57.0,2.2,1.5,1,NA,NA
