Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mason Plumlee,,6.1,6,5.8,4.8,4.7,3.6,NA,NA,NA,NA,NA
Joe Barry Carroll,83.5,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA
Roy Hibbert,81.3,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA,NA
Andrew Bynum,80.8,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA,NA
Elmore Smith,79.9,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA
Kelly Olynyk,78.6,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA,NA
Gorgui Dieng,78.1,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA
Steve Hawes,77.7,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1,NA
Cody Zeller,75.8,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA
Wayne Embry,75.7,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1
Jim Fox,75.2,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA
