Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mason Plumlee,,6.1,6,5.8,4.8,4.7,3.6
Joe Barry Carroll,93.8,7,5.7,5.5,4.7,4.6,3.4
James Donaldson,91.9,5.8,5.7,5.6,5.1,5,2.5
Nate Thurmond,90.9,7.2,6.5,6.1,5.2,4.3,3.5
Theo Ratliff,90.4,6.7,5.6,5.4,5.2,3.9,3.8
Roy Hibbert,88.6,6.2,6.1,5.4,4.1,3.6,2.1
Jim Chones,88.5,6.4,6.2,6,5.9,5.8,2.6
Red Kerr,87.3,8.7,5.8,5.4,5,4.6,3.8
Andrew Bogut,86.9,7.5,5.5,5.4,4.8,4,2.6
Nikola Vučević,84.7,7,5.7,5.2,4.4,4,1.8
Mychal Thompson,84.0,8.2,6.9,6.1,5.4,5.3,4.4
