Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Steve Burtt,,0.5,0,-0.1,-0.4
Paul McCracken,-51.0,0.5,0,0,NA
Clay Johnson,-58.0,0.6,0.1,0,NA
Carl Thomas,-59.2,0.7,0,0,NA
Delaney Rudd,-60.9,0.6,0.3,0.1,-0.3
Phil Pressey,-64.3,0.8,0.1,-0.1,NA
Othyus Jeffers,-65.9,0.7,0.1,0.1,NA
Tom Ingelsby,-66.0,0.7,0.1,0,NA
Paul Long,-66.0,0.5,0.3,0.2,-0.2
Terry Duerod,-70.1,0.7,0.2,0.2,-0.2
Sergey Karasev,-70.6,0.7,0.3,-0.1,NA
