Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Billy McKinney,,3.4,3.3,3,2.7,2.3,0.9,0.1
Darrell Griffith,92.7,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Rod Thorn,90.9,3.5,3.4,2.9,2.3,2.1,1.4,0.1
Steve Colter,90.4,3.3,3.1,2.7,2.6,2.3,1.7,0.3
Gerald Henderson,89.2,3.6,3.6,3.3,2.4,2,1,0.4
Mickaël Piétrus,88.8,3.6,3.6,3,2.8,2.1,1.5,0.6
Dell Curry,88.3,3.4,3.2,2.7,2,1.8,0.9,0.5
Mike Dunleavy,87.6,3.4,3.1,3,2.6,1.4,0.2,0.1
Art Williams,86.7,4.4,3.4,3.1,2.8,2.7,1.2,0
Adrian Griffin,86.0,3.9,3.5,2.9,2.9,1.3,0.4,0.1
Tony Snell,85.8,3.4,3.2,2.4,2.4,1.6,0.4,NA
