Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Williams,,3.7,2.7,2.6,-0.1
Mickey Davis,90.4,3.4,2.6,2.3,-0.1
Walter Berry,89.4,3.4,2.4,2.3,NA
Dāvis Bertāns,88.9,4,3.1,2.3,NA
Lew Hitch,88.9,3.3,2.7,2.2,NA
James Jones,88.7,4,2.5,2.2,0
Jumaine Jones,88.6,3.3,2.9,2.3,0
Charles Jones,88.3,3.2,2.8,2.2,0
Solomon Hill,88.1,3.5,2.7,2.1,0.4
Bill Bridges,87.3,3.9,3.1,2.6,0.6
Wilson Chandler,86.9,3.9,3.1,2.7,0.5
