Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sam Williams,,3.7,2.7,2.6,-0.1,NA,NA
Walter Berry,89.4,3.4,2.4,2.3,NA,NA,NA
Dāvis Bertāns,88.9,4,3.1,2.3,NA,NA,NA
Mike Jackson,86.8,3.4,3.1,2.4,0.2,NA,NA
Justise Winslow,85.4,2.8,2.6,2.5,-0.1,NA,NA
Zeke Zawoluk,84.7,3.9,2.5,1.7,NA,NA,NA
Solomon Hill,82.9,3.5,2.7,2.1,0.5,0.4,-0.1
Mickey Davis,82.8,3.4,2.6,2.3,0.4,0.3,-0.1
Kelly Oubre,82.2,3.7,2.2,2,0.4,NA,NA
Arnie Ferrin,81.4,2.6,2.6,2.4,NA,NA,NA
Don Collins,81.0,3.5,3.4,2.6,0.9,0,0
