Season,Team,Lg,Salary
1999-00,Dallas Mavericks,NBA,"$449,920"
2000-01,Dallas Mavericks,NBA,"$483,680"
2001-02,Dallas Mavericks,NBA,"$517,360"
Career,(may be incomplete),,"$1,450,960"
