Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kedrick Brown,,2,0.5,0.4,0.1,NA
Trajan Langdon,93.6,2,0.6,0.3,NA,NA
Bubbles Hawkins,89.2,1.9,0.6,0.3,0.1,NA
Felipe López,86.8,1.9,0.5,0.4,0.3,NA
Treveon Graham,85.9,1.8,0.5,0.4,NA,NA
Kevin Williams,82.5,1.9,0.6,0.1,0.1,-0.1
Alexey Shved,81.5,2.2,0.8,0.2,NA,NA
Patrick McCaw,80.5,1.7,0.6,0.5,NA,NA
Win Wilfong,79.3,2.1,0.6,0.2,-0.3,NA
Travis Mays,76.3,2.1,0.3,0,NA,NA
Chink Crossin,75.8,2.1,1.2,0.5,NA,NA
