Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,20,BOS,NBA,SF,2,0,3,35.6,35.6,1,17.8,17.8,1,17.8,17.8,1,0,0,NA,0,0,0,0,0,17.8,0,0,89,NA,250,90
2002-03,21,BOS,NBA,SF,3,0,11,4.8,19.3,0.25,0,0,NA,4.8,19.3,0.25,4.8,9.6,0.5,9.6,0,9.6,0,4.8,0,0,0,14.5,NA,87,102
Career,NA,,NBA,,5,0,14,11.4,22.8,0.5,3.8,3.8,1,7.6,19,0.4,3.8,7.6,0.5,7.6,0,7.6,0,3.8,3.8,0,0,30.4,NA,109,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,5,0,14,11.4,22.8,0.5,3.8,3.8,1,7.6,19,0.4,3.8,7.6,0.5,7.6,0,7.6,0,3.8,3.8,0,0,30.4,NA,109,100
