Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tellis Frank,,2,1.1,0.6,0.3,0.1,NA
Bob Portman,86.8,1.9,1.2,0.8,0.5,NA,NA
Hank Whitney,84.2,1.8,1.1,0.5,NA,NA,NA
Keith Lee,83.2,1.9,1.1,0.8,NA,NA,NA
Byron Houston,82.0,1.8,0.9,0.7,0.5,NA,NA
D.J. White,81.9,1.8,0.8,0.6,0.4,0.2,0
Henry Walker,80.1,1.9,1.1,0.9,0.5,0.5,NA
Joe Kopicki,79.7,1.9,0.9,0.7,NA,NA,NA
Cliff Meely,79.3,1.8,1.2,1,0.4,0.2,NA
Kenny Battle,78.8,1.9,1.3,0.3,0.1,NA,NA
Stanley Johnson,78.5,1.8,0.6,0.5,0.4,NA,NA
