Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tellis Frank,,2,1.1,0.6,0.3,0.1
Michael Ruffin,91.8,1.9,1,0.6,0.2,0
Bob Portman,86.8,1.9,1.2,0.8,0.5,NA
Tony Brown,85.5,1.8,1.3,0.5,0.2,0
Hank Whitney,84.2,1.8,1.1,0.5,NA,NA
Scott Hastings,83.8,2.1,1.3,0.8,0.4,0.1
Keith Lee,83.2,1.9,1.1,0.8,NA,NA
Byron Houston,82.0,1.8,0.9,0.7,0.5,NA
D.J. White,81.9,1.8,0.8,0.6,0.4,0.2
Steve Novak,81.5,2.2,1.1,0.9,0.4,0.3
Henry Walker,80.1,1.9,1.1,0.9,0.5,0.5
