,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1983-84,18,WKENTUCKY,27,,42,121,,,22,36,,92,31,17,7,40,80,106,.347,,.611,,3.9,3.4,1.1
1984-85,19,WKENTUCKY,27,,93,213,,,41,62,,134,37,16,18,43,80,227,.437,,.661,,8.4,5.0,1.4
1985-86,20,WKENTUCKY,30,,109,212,,,88,111,,157,34,26,12,58,89,306,.514,,.793,,10.2,5.2,1.1
1986-87,21,WKENTUCKY,38,,281,542,,,122,175,,281,85,40,22,94,118,684,.518,,.697,,18.0,7.4,2.2
Career,,,122,,525,1088,,,273,384,,664,187,99,59,235,367,1323,.483,,.711,,10.8,5.4,1.5
