Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Ron Davis,,0.6,-0.1,-0.4
Lawrence Moten,11.2,0.6,-0.1,-0.4
Tyler Ulis,10.9,0.7,0,-0.2
Darrun Hilliard,-7.1,0.5,0,-0.2
Carl Thomas,-10.7,0.7,0,0
Phil Pressey,-22.5,0.8,0.1,-0.1
Othyus Jeffers,-25.7,0.7,0.1,0.1
Tom Ingelsby,-26.0,0.7,0.1,0
Clay Johnson,-26.2,0.6,0.1,0
Sergey Karasev,-26.2,0.7,0.3,-0.1
Paul McCracken,-28.5,0.5,0,0
