Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1974-75,22,BOS,NBA,SF,6,NA,30,3.1,18.3,0.167,1.5,4.6,0.333,1.5,7.6,9.2,3.1,1.5,0,6.1,7.6,NA,NA,102
1975-76,23,BOS,NBA,SF,13,NA,68,5.6,18.1,0.308,3.5,4.2,0.833,0.7,4.9,5.6,2.8,0.7,0,8.3,14.6,NA,NA,97
Career,NA,,NBA,,19,NA,98,4.8,18.2,0.263,2.9,4.3,0.667,1,5.7,6.7,2.9,1,0,7.6,12.4,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,19,NA,98,4.8,18.2,0.263,2.9,4.3,0.667,1,5.7,6.7,2.9,1,0,7.6,12.4,NA,NA,98
