Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Glenn McDonald,,1.1,0.2,-0.2,NA,NA
Jeffery Taylor,81.0,1.2,0.3,-0.2,NA,NA
Ivano Newbill,79.9,1.1,0.1,-0.1,NA,NA
Chris King,70.7,1.1,0,-0.1,NA,NA
Dwayne Jones,69.1,1.2,0.1,0.1,0,0
Scott English,67.7,1,0,-0.2,NA,NA
Jackie Butler,67.3,1.2,0.1,0.1,NA,NA
Terence Morris,66.7,0.9,0.2,-0.1,NA,NA
Michael Young,65.8,1.1,0,0,NA,NA
Kenny Dennard,61.8,1.1,0.3,0.1,NA,NA
Stephen Howard,61.3,1.3,0.2,0.1,0,NA
