Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kenny Dennard,,1.1,0.3,0.1,NA,NA
Jim Tucker,88.9,1,0.3,0,NA,NA
David Thirdkill,87.1,1,0.3,0,0,-0.1
Winston Bennett,86.7,1.1,0.3,0.2,NA,NA
Bob Peterson,80.4,0.9,0.4,0.2,NA,NA
Cal Bowdler,79.4,1,0.5,0.2,NA,NA
Dwayne Jones,76.5,1.2,0.1,0.1,0,0
Jackie Butler,75.3,1.2,0.1,0.1,NA,NA
Bob Arnzen,74.8,1,0.3,0.3,-0.1,NA
Scott Roth,74.1,0.7,0.3,0.1,NA,NA
Jamie Watson,73.9,0.8,0.3,0.1,0,NA
