Season,Team,Lg,Salary
1984-85,Dallas Mavericks,NBA,"$250,000"
1985-86,Dallas Mavericks,NBA,"$275,000"
1987-88,Denver Nuggets,NBA,"$415,625"
1988-89,Denver Nuggets,NBA,"$415,600"
Career,(may be incomplete),,"$1,356,225"
