Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jay Vincent,,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA,NA
Curtis Perry,87.2,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA,NA
Mitch Kupchak,86.1,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0,NA,NA
Chuck Hayes,84.4,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0
Rich Jones,84.0,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA,NA,NA
DeMarre Carroll,83.6,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA
Sonny Parker,83.5,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA,NA
Jae Crowder,83.2,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA,NA
Adam Keefe,82.7,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Warren Davis,82.4,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA,NA
Mel Hutchins,81.9,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
