Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jay Vincent,,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3
Curtis Perry,87.2,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA
Kenny Carr,87.1,6.7,5.8,5.1,3.8,3.1,2.9,2.1,1.1,0
Bruce Bowen,86.8,6.1,5.4,5.1,4.2,2.2,1.9,1.2,0,0
Mitch Kupchak,86.1,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0
Dave Gambee,85.7,7,5.3,4.6,3.3,2.2,1.9,1.6,0,NA
Chuck Hayes,85.4,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6
DeMarre Carroll,84.2,7,5.8,4.1,3.8,3.1,1.2,0.5,0.5,0.1
Rich Jones,84.0,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA
George Lynch,83.7,6.5,5.8,3.9,2.6,2.5,1.7,1.5,0.9,0.7
Sonny Parker,83.5,7,6.8,6.2,3,2.3,1.6,NA,NA,NA
