,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,CLE,NBA,,6,17,3,6,,,16,6,,,5,14
1972-73,24,CLE,NBA,,5,12,6,10,,,12,4,,,6,12
1973-74,25,CLE,NBA,,9,20,8,10,10,12,19,10,4,,6,22
1974-75,26,CLE,NBA,,10,,5,5,,,,,,,,23
1975-76,27,TOT,NBA,,5,10,4,5,,,13,7,,,6,13
1975-76,27,CLE,NBA,,4,6,4,4,2,4,6,2,1,1,3,8
1975-76,27,CHI,NBA,,5,10,3,5,,,13,7,,,6,13
Career,,,,,10,,8,10,,,,,,,,23
5 Seasons,,CLE,NBA,,10,,8,10,,,,,,,,23
1 Season,,CHI,NBA,,5,10,3,5,,,13,7,,,6,13
