Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Steve Patterson,,3,1.5,0.9,0.1,-0.7,NA
Vladimir Stepania,77.2,2.9,1.7,0.8,0.2,-0.1,-0.3
Ed Mikan,73.0,2.7,0.8,0.8,0,-0.7,NA
Ivica Zubac,72.5,3.2,1.1,1,NA,NA,NA
Gustavo Ayón,71.8,3.2,1.2,0.7,NA,NA,NA
Howie Schultz,70.7,3,2,0.6,NA,NA,NA
Jack Toomay,69.9,3.6,1.6,1.1,NA,NA,NA
Charlie Tyra,69.5,2.3,1.5,1.1,0.2,-0.2,NA
Greg Stiemsma,68.8,2.7,1.7,1.5,0.1,NA,NA
Festus Ezeli,68.4,2.7,1.7,1.5,NA,NA,NA
Lucas Nogueira,66.9,3.7,1.6,0.7,0,NA,NA
