Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
James Worthy,,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1
Glen Rice,94.2,10.8,10.2,10,9.3,9,8.3,7.9,6.3,5.7,4.4,2.2,1.4
Lou Hudson,92.5,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,2.7,2.2,0.8
Alex English,91.3,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7,5.3,4,1.2
Terry Cummings,91.1,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,1.8,0
Ben Wallace,90.9,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,3.6,3.6,2.9,-0.2
Jack Twyman,90.8,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA
Billy Cunningham,90.4,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA
Rasheed Wallace,90.4,11,9.7,9.3,8.9,8.5,7.6,7.1,6.4,6.2,6.2,5,2.3
Carmelo Anthony,90.3,10.7,9.5,9.4,8.2,7.9,7.9,7.3,6.2,6.1,5,4.9,2.9
Lamar Odom,90.2,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7
