Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
James Worthy,,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1,NA,NA,NA
Glen Rice,93.1,10.8,10.2,10,9.3,9,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0,-0.1
Lou Hudson,91.6,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,NA,NA
Jack Twyman,90.8,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA,NA,NA,NA
Anthony Mason,90.6,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,NA,NA
Billy Cunningham,90.4,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA,NA,NA
Bob Dandridge,90.1,9.5,9.1,9,8.7,8.4,8.1,7,6.8,6,5.4,1.7,0.5,0,NA,NA
Lamar Odom,89.1,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3,NA
Harry Gallatin,89.0,11.8,11.3,8.9,8.3,8.1,7.8,7.6,6.1,5.6,2.8,NA,NA,NA,NA,NA
Bobby Jones,88.8,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6,4.8,3.2,NA,NA,NA
David Lee,87.8,10.3,9.1,9,7.6,7.4,6.9,6,5.7,5,3.2,3,2.7,NA,NA,NA
