Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mirza Teletović,,3.8,2.7,0.9,0.6,0.5,0.3,NA,NA
Lee Nailon,87.1,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA
Ime Udoka,84.9,3.9,2.8,1.3,0.8,0,0,0,NA
Greg Kelser,82.6,3.9,2.5,1.4,0.8,0.1,0,NA,NA
Darren Daye,81.6,3.8,2.4,1.3,1.2,0.6,NA,NA,NA
Trey Lyles,81.6,3.9,2.3,1.2,0.8,NA,NA,NA,NA
Solomon Hill,78.8,3.5,2.7,2.1,0.5,0.4,-0.1,NA,NA
Rondae Hollis-Jefferson,78.5,4.1,2.6,1.2,1.2,NA,NA,NA,NA
Mike Sweetney,77.0,3.8,2.1,1.4,0.4,NA,NA,NA,NA
Tony Jaros,75.6,4.4,2.2,1.3,0.6,NA,NA,NA,NA
Mark Strickland,74.7,2.8,2.2,1,0.6,0.5,0,0,0
