Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jack Toomay,,3.6,1.6,1.1,NA,NA
Lucas Nogueira,91.8,3.7,1.6,0.7,0,NA
Ivica Zubac,82.8,3.2,1.1,1,NA,NA
Rich Niemann,81.9,4.4,1.4,1.2,0.2,NA
Craig Raymond,80.5,4.7,1.7,1,0,0
Gustavo Ayón,79.1,3.2,1.2,0.7,NA,NA
Festus Ezeli,76.6,2.7,1.7,1.5,NA,NA
Greg Stiemsma,75.0,2.7,1.7,1.5,0.1,NA
Howie Schultz,74.0,3,2,0.6,NA,NA
Willy Hernangómez,73.1,3.4,2.6,1.8,NA,NA
Reggie Harding,71.9,3.1,2.6,1.6,0,NA
