Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Jack Toomay,,3.6,1.6,1.1
Robin Lopez,91.8,3.2,1.5,1.1
Erick Dampier,90.0,4,1.5,0.9
Boban Marjanović,89.0,3.4,1.7,1.5
Art Spoelstra,87.8,3.7,1.8,1.7
Dale Schlueter,87.5,4.4,1.6,1.1
Benoit Benjamin,87.2,4,2,1.1
Eric Montross,86.8,4.1,1.4,1.3
Cherokee Parks,84.5,3.8,2.2,0.9
Ervin Johnson,84.2,3.9,1.3,0.7
Otto Moore,83.4,3.5,2.4,0.9
