Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22,SYR,NBA,,11,NA,NA,27,93,0.29,24,28,0.857,NA,34,32,78
1950-51,23,SYR,NBA,,7,NA,NA,10,48,0.208,14,21,0.667,26,25,22,34
1951-52,24,SYR,NBA,SG,7,NA,270,25,60,0.417,35,43,0.814,26,25,33,85
1952-53,25,SYR,NBA,SG,2,NA,112,9,24,0.375,18,19,0.947,10,8,11,36
1953-54,26,SYR,NBA,SG,13,NA,559,59,143,0.413,76,94,0.809,34,60,39,194
1954-55,27,SYR,NBA,SG,11,NA,410,46,149,0.309,45,50,0.9,43,75,21,137
1955-56,28,SYR,NBA,SG,7,NA,153,16,55,0.291,15,20,0.75,11,18,11,47
1956-57,29,SYR,NBA,PG,5,NA,98,8,37,0.216,5,6,0.833,10,8,11,21
1957-58,30,SYR,NBA,PG,3,NA,50,8,23,0.348,2,3,0.667,4,4,5,18
Career,NA,,NBA,,66,NA,1652,208,632,0.329,234,284,0.824,164,257,185,650
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,SYR,NBA,,66,NA,1652,208,632,0.329,234,284,0.824,164,257,185,650
