Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Paul Seymour,,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Glen Combs,84.9,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA,NA,NA
Bradley Beal,84.7,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
Flynn Robinson,84.2,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA
Warren Jabali,83.5,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA,NA
Micheal Ray Richardson,82.7,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Phil Chenier,80.6,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA,NA
Phil Smith,80.4,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Ben Gordon,79.9,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6,NA
Ray Williams,79.9,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4,NA,NA
Dee Brown,79.6,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1,0.8,0.3,0.2,-0.3
