,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,22,SYR,NBA,,4,,4,4,,,6,12
1950-51,23,SYR,NBA,,5,,5,7,,,6,12
1951-52,24,SYR,NBA,,5,,11,12,,,6,21
1952-53,25,SYR,NBA,,5,,10,10,,,6,18
1953-54,26,SYR,NBA,,8,17,11,14,,7,6,25
1954-55,27,SYR,NBA,,6,,7,9,,,4,18
1955-56,28,SYR,NBA,,7,14,7,9,,6,3,21
1956-57,29,SYR,NBA,,6,17,3,5,5,,4,15
1957-58,30,SYR,NBA,,5,18,2,2,2,4,4,12
Career,,,,,8,,11,14,,,6,25
