Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1947-48,20,BLB,BAA,,22,NA,NA,0.324,0.366,NA,NA,NA,NA,NA,0.1,0.2,0.4,NA
1949-50,22,SYR,NBA,,62,NA,NA,0.396,0.336,NA,NA,NA,NA,NA,1.1,2.7,3.8,NA
1950-51,23,SYR,NBA,,51,NA,NA,0.403,0.413,NA,NA,NA,NA,NA,0.7,1.2,1.8,NA
1951-52,24,SYR,NBA,SG,66,2209,10.9,0.414,0.398,NA,NA,NA,NA,NA,0.8,2.4,3.2,0.069
1952-53,25,SYR,NBA,SG,67,2684,16,0.485,0.521,NA,NA,NA,NA,NA,5.8,2.9,8.7,0.155
1953-54,26,SYR,NBA,SG,71,2727,16.2,0.466,0.439,NA,NA,NA,NA,NA,5,4.3,9.3,0.164
1954-55,27,SYR,NBA,SG,72,2950,15.1,0.438,0.357,NA,NA,NA,NA,NA,2.1,4.5,6.7,0.108
1955-56,28,SYR,NBA,SG,57,1826,12.1,0.416,0.348,NA,NA,NA,NA,NA,0,2.2,2.3,0.059
1956-57,29,SYR,NBA,PG,65,1235,11.3,0.39,0.278,NA,NA,NA,NA,NA,-0.4,1.2,0.8,0.033
1957-58,30,SYR,NBA,PG,64,763,9.9,0.39,0.2,NA,NA,NA,NA,NA,-0.4,0.8,0.5,0.028
1958-59,31,SYR,NBA,SG,21,266,11,0.406,0.296,NA,NA,NA,NA,NA,0,0.3,0.3,0.046
1959-60,32,SYR,NBA,,4,7,-17.1,0,0,NA,NA,NA,NA,NA,-0.1,0,-0.1,-0.596
Career,NA,,TOT,,622,14667,13.8,0.429,0.381,NA,NA,NA,NA,NA,14.7,22.8,37.5,0.103
,NA,,NBA,,600,14667,13.8,0.431,0.381,NA,NA,NA,NA,NA,14.6,22.6,37.2,0.103
,NA,,BAA,,22,NA,NA,0.324,0.366,NA,NA,NA,NA,NA,0.1,0.2,0.4,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,SYR,NBA,,600,14667,13.8,0.431,0.381,NA,NA,NA,NA,NA,14.6,22.6,37.2,0.103
1 season,NA,BLB,BAA,,22,NA,NA,0.324,0.366,NA,NA,NA,NA,NA,0.1,0.2,0.4,NA
