Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Derrick Williams,,3.6,3,2.6,2.1,1.8,1.1,0
Scott Williams,92.4,3.9,3.1,2.6,2.3,1.7,0.9,0.3
Fred Roberts,92.2,3.5,3,2.6,2,1.9,1.8,0.2
Don Ford,90.9,3.5,2.8,2.5,2,1.5,0.6,-0.1
Lavoy Allen,90.8,3.7,2.8,2.5,1.7,1.6,1.5,NA
Scott Padgett,90.4,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Sidney Green,90.1,3.4,2.7,2.5,2,1.7,0.6,0.3
Edgar Jones,90.1,3.4,3.4,2.6,2.4,2.3,0.9,NA
Andrew DeClercq,89.1,3.4,3.1,2.9,2.5,1.6,1,0.4
Mike Scott,88.7,3.2,2.7,2.6,2.5,1.6,0.9,-0.1
Charles Jones,88.5,3.8,3.2,2.8,2.2,2.2,1.6,0
