Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Derrick Williams,,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Don Ford,90.9,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA,NA
Lavoy Allen,90.8,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA,NA,NA
Edgar Jones,90.1,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA,NA,NA,NA
Scott Padgett,90.0,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA,NA,NA
Mike Scott,88.7,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA,NA,NA,NA
Toby Kimball,88.4,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Lawrence Funderburke,88.3,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA,NA
Nick Weatherspoon,87.3,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA,NA,NA
Glen Gondrezick,86.6,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA,NA,NA,NA
Duane Ferrell,86.2,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
