Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sean Higgins,,0.4,0.3,0,0,-0.1,-0.1
Briante Weber,54.7,0.4,0.3,0,NA,NA,NA
Milt Williams,44.7,0.4,0.2,0.1,0.1,NA,NA
James Young,41.3,0.3,0.3,0.1,0.1,NA,NA
James White,40.8,0.5,0.3,0,NA,NA,NA
Anthony Jones,36.8,0.5,0.3,0,NA,NA,NA
Julyan Stone,36.4,0.4,0.3,0.2,0.1,NA,NA
Lance Blanks,34.3,0.4,0.2,0.1,NA,NA,NA
Elliot Williams,33.4,0.3,0.3,0.1,0,NA,NA
Doug Lee,32.5,0.4,0.4,0,NA,NA,NA
Xavier Henry,30.4,0.3,0.2,0.2,0,-0.1,NA
