Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Yi Jianlian,,1.3,0.7,0.7,0.4,0
Jarell Martin,91.1,1.3,0.8,0.6,0.5,NA
Ray Tolbert,87.8,1.1,0.8,0.7,0.3,0
Steve Green,83.6,1.2,1.1,0.7,0.4,NA
Josh Powell,83.5,1.1,0.7,0.6,0.3,0
Anthony Miller,82.1,1.2,0.8,0.6,0,-0.1
Chris Crawford,81.8,1.3,0.9,0.6,0.6,0.1
Chris Johnson,80.3,1.4,1.1,0.8,0.2,NA
Julian Wright,78.5,1.7,0.8,0.8,0.6,NA
Ben McDonald,77.8,1.3,0.7,0.3,0.2,NA
Joe Ellis,77.0,1.3,1,0.5,0.4,-0.3
