Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Harvey Grant,,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7
Chris Morris,91.5,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1
Matt Bonner,90.9,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8
Johnny Newman,89.8,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.3,0.3
Glenn Robinson,89.3,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5
Al Harrington,89.2,5.9,5.4,4.3,3.9,3.9,3.8,2.6,1.6,1.2,1,-0.2
Antoine Carr,89.1,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Jeff Green,88.8,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2
Tom Van Arsdale,88.5,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1
John Johnson,88.3,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2
Antoine Walker,88.2,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,-0.3
